x,i,j,k,y
33.10298866,1,1,3,62.63568491
-1.746827617,1,1,1,219.6377273
-6.438917405,1,1,1,5.783405831
55.5043229,1,1,3,311.3220576
-21.00545479,1,0,1,-7.681382079
23.28760304,0,0,1,190.0916221
114.8299082,0,1,1,589.6855105
63.47441586,1,1,3,384.2081688
46.18509154,1,1,1,384.2576839
39.56857336,1,1,1,273.3044763
-31.19708042,0,0,2,-255.9781366
-13.64802529,0,0,2,-43.77048984
18.98677698,1,1,2,223.1939385
-19.16813959,0,1,2,-31.6222501
45.47284646,0,1,0,243.8150353
80.95831578,1,0,2,271.8777552
11.89568793,0,0,1,18.88037572
82.42078636,1,1,0,560.765494
106.9271524,1,1,1,462.9731381
-0.410071771,0,1,1,-9.584649812
65.41125585,1,1,1,554.0089916
49.08882359,0,1,2,411.3759162
48.52087205,1,1,1,299.5205826
141.446119,1,1,2,755.5965627
-24.59706537,1,1,1,-112.6863363
-4.348407397,1,0,3,17.48178401
79.91705643,1,1,2,562.0983664
44.86937077,0,0,2,411.5872222
-6.277653917,0,0,1,1.797196057
4.14645082,1,0,2,73.41416586
-8.335048007,1,1,1,-31.99759324
20.57311941,0,1,2,179.0491503
54.86234643,0,1,3,358.4096268
39.14916484,0,0,2,130.6350598
57.63250189,0,1,0,211.8728865
90.06863131,0,1,2,491.3606824
-18.46371045,1,0,2,-87.57860152
10.69287377,0,1,1,212.0697379
-3.538931822,0,0,2,-150.8161306
3.703960709,1,0,2,40.96192261
52.68790214,0,1,1,322.2986174
44.29079943,0,0,1,130.8261295
78.51466678,0,0,1,374.3539252
21.17547017,1,1,2,84.44144272
75.13732616,1,0,2,504.5540356
39.97233106,0,0,1,-55.67272699
53.94654211,1,0,0,346.4171379
-56.48634946,1,1,1,-42.69247468
56.78987454,0,0,1,157.756083
11.05820965,0,1,3,-30.21916498
48.4203533,0,0,2,198.7430483
61.5986927,1,0,1,460.7111228
-14.64210999,0,1,2,-5.710330946
26.40410201,1,1,1,177.344251
128.0241903,0,0,2,567.7179108
-1.274854976,0,0,1,149.5028175
8.02562426,0,0,2,84.34444922
4.220476307,0,0,1,-17.82813569
97.5092662,1,0,1,391.9854712
-37.90877346,0,1,2,-180.6973685
-18.2768027,0,1,2,-26.82194808
43.95678453,1,1,2,151.8081362
39.89198537,0,0,2,153.3973255
-12.07633001,0,1,1,-15.69086041
90.47272288,1,1,1,461.8525517
-15.78099987,1,0,1,68.16774396
-6.228546374,1,0,3,-42.77228306
101.4828255,1,0,1,410.3471359
46.44207171,0,0,0,326.1374353
25.84430618,0,0,0,111.0536893
116.9482509,1,1,1,722.5257547
-4.842317599,0,1,2,161.989139
38.96971432,0,0,1,165.4073497
14.49295292,1,1,2,115.0751266
93.8595139,1,1,3,535.9524043
27.08982951,1,0,2,157.2045942
43.02030401,0,0,1,260.7101567
-5.046169427,1,0,1,-197.6123364
47.52370207,1,1,1,152.5391338
-0.751539796,1,1,2,10.64813345
106.8532537,0,0,1,427.9908282
16.27506861,1,1,2,222.2478798
-19.96878454,1,0,1,-146.037445
-14.2313038,1,1,2,82.20145105
46.87201237,0,1,2,171.5069763
60.52230737,1,1,1,423.226438
52.63978299,0,0,0,240.3327485
16.74436122,0,1,2,68.19176182
13.36135784,1,1,1,125.1213752
15.18692299,1,1,2,85.17485781
89.27161525,1,0,2,456.3172099
112.5726449,1,1,2,558.7285695
40.07575788,0,0,1,113.2164548
26.89248678,0,0,3,205.7652721
-11.456324,0,0,1,-133.7801226
111.3633738,0,0,2,497.0738675
82.77081973,0,0,0,433.9806972
29.43510262,1,0,2,111.1123082
45.62623217,1,1,1,125.6253749
-23.84685204,0,0,2,-148.3494655
2.764644316,1,0,1,-6.89794118
-31.54135691,1,0,1,-139.2278115
27.26744477,0,0,3,216.5378982
21.09346375,1,1,2,220.8235674
74.39563473,0,1,2,494.9631065
12.81394058,0,0,1,329.3982903
9.395983649,0,1,2,128.058472
43.68537175,0,1,1,294.2509147
1.463210937,0,1,2,93.35534673
23.3703644,0,1,2,216.6053777
62.25371728,1,0,1,403.0408374
54.57323469,0,1,2,273.7083376
-5.869801101,0,0,1,-125.1888483
73.50518197,1,1,2,645.3042353
27.46603353,0,1,1,223.4180138
29.45625239,0,0,0,127.4685609
90.61212723,0,1,3,358.6200947
99.88936688,0,0,1,420.9319745
18.42979773,0,0,3,-17.79007071
11.44743706,0,1,0,79.17524227
64.78744702,0,1,1,324.8203898
87.11797496,0,0,1,478.9561849
13.79651749,0,1,1,79.62828414
36.09942501,1,1,1,239.1889065
103.6244459,1,1,0,710.0140468
65.66114735,1,0,2,361.24021
94.10937987,1,1,0,630.3066462
31.35619448,1,1,2,189.2616774
50.27338695,0,1,2,205.8466844
-12.29083232,0,1,3,115.1003849
12.59011952,0,1,2,-10.49139662
58.22267978,1,1,2,360.5803825
21.45697714,0,1,0,322.0355985
5.74893603,0,1,1,53.9209293
50.89031452,1,0,1,136.0206123
37.60166813,1,0,2,352.1752663
79.18141247,0,0,2,360.3255365
-14.16068719,0,0,1,-32.72025837
24.37096692,1,1,0,404.1712524
46.82600555,0,1,1,319.715446
66.35133448,1,1,1,535.3369764
98.17701051,0,1,2,501.0665538
42.23239173,1,1,2,372.4103742
-2.016724672,0,0,2,-95.4123726
29.69053414,1,1,1,140.5933743
16.46420921,1,1,1,183.7676661
51.35323028,1,1,2,395.1886522
58.99224687,1,1,0,237.0738818
50.90740373,1,1,0,344.0011539
-11.91580806,1,1,2,-64.09917123
34.15687168,1,0,2,245.986137
103.9519423,0,0,2,437.5764232
27.90189154,0,1,1,263.5041788
38.83886842,1,1,1,306.0640904
81.40645349,0,1,2,281.5613399
-8.364517758,1,1,2,-54.38298126
7.428535332,0,0,1,43.62374005
116.5857434,1,1,2,723.3088884
11.48674284,1,0,2,49.31576418
6.107411984,1,0,0,-103.7630828
49.86307782,0,0,1,238.6267576
69.91957079,1,0,1,357.1339781
26.09627266,1,0,1,252.206017
24.9362457,0,0,1,6.618934483
26.1259692,1,1,1,229.1843004
17.71236105,0,0,3,172.2504397
33.772355,1,0,1,113.3684451
10.37905247,1,1,0,174.1999898
-8.701622378,1,0,2,-66.04883205
46.32752222,1,1,1,223.3108157
71.71791913,1,0,1,262.6760483
62.50379706,0,0,1,316.2225404
13.67712804,1,0,3,104.3662078
103.2277653,1,1,2,535.7135344
24.07340775,1,1,3,137.6261954
57.62755424,1,0,1,465.8353366
21.44668102,1,1,2,66.59124296
126.2789759,1,1,3,702.0898161
45.85595103,1,0,1,144.2511808
18.34969619,0,0,0,-79.32684726
40.43622692,0,1,0,139.2784716
84.14786918,0,1,1,549.6325001
-5.982564137,1,0,1,252.5756168
90.07700543,1,0,3,219.9160602
94.94947646,1,1,2,565.1857536
69.91389852,1,0,0,298.6875933
73.50910702,1,1,3,626.6320944
-16.39240417,0,0,2,-93.62628981
76.3914561,0,0,2,408.3595287
2.15614822,1,1,0,182.4585255
162.7222876,0,0,1,834.3264705
51.97396825,1,0,0,211.7654814
73.32713096,1,1,3,453.9579703
92.18788497,1,1,2,758.1549093
68.35064523,0,0,1,239.7387358
7.949409226,1,0,2,-6.73430843
108.4635293,0,0,1,580.4230959
24.59801135,1,0,2,61.13802046
-38.39389166,1,0,1,-132.9065366
-28.57629622,0,0,0,-19.17986661
23.50482944,0,1,1,217.9649015
-73.25156946,1,1,2,2.363171527
26.12493241,0,1,2,96.64059514
7.786940675,0,1,3,107.2261386
113.8020222,0,1,1,564.5497655
56.40041865,0,1,1,266.8094729
68.78552294,1,0,2,227.9913919
45.36628416,1,1,2,423.8767337
15.75869343,1,1,1,37.51863708
13.7585838,0,1,3,301.7685451
54.50245181,1,1,1,441.9085217
-12.56448782,1,1,1,219.8956874
83.38846318,0,0,1,247.1029786
98.38208973,1,1,2,476.7443611
72.78814445,1,0,3,443.0158161
140.63977,1,1,2,690.8762822
-6.195465608,0,0,1,35.39876096
80.03396278,1,0,2,365.4505074
61.32588584,0,1,0,452.3132784
87.22061754,0,0,1,328.2376218
102.8253427,1,1,2,810.0333186
55.61090998,1,1,2,399.8395311
7.532362474,1,1,1,362.7876495
24.9710702,1,1,0,396.1008233
9.069386244,0,0,0,87.78915936
60.58945322,1,1,2,451.2392872
26.26604237,1,1,2,282.071611
77.89628128,0,1,2,459.3379651
49.95622773,1,0,3,257.5959824
28.17838782,1,0,1,207.5227219
-34.64844737,1,1,2,10.4754103
29.25828407,1,0,3,186.217845
33.19295857,1,1,1,301.4715959
11.06364824,1,0,2,96.69025126
26.57338706,1,0,2,162.519571
82.66273127,0,1,1,327.5193483
73.67014262,1,1,3,473.3895518
85.41076131,1,1,2,512.5408674
50.42389097,0,1,2,373.3058609
85.43180462,1,0,1,255.7742861
102.7486107,0,0,1,324.6584958
144.3259866,1,1,2,810.2001985
6.48657586,0,0,1,38.23236192
61.26574319,1,1,3,253.1000057
77.3067429,1,1,1,435.5299276
4.132611858,1,0,2,77.36383009
3.61210937,1,0,1,67.33712564
70.01482913,0,0,1,358.2166869
63.66978255,0,0,0,347.4988439
20.06607516,0,1,3,35.49780285
22.86129512,0,0,2,125.931684
-39.90600051,1,1,2,22.54818656
84.76285846,1,1,2,516.4691641
-31.10998378,1,0,2,-88.48572984
32.61471851,0,0,2,298.5043582
92.3994775,1,1,1,484.9138127
68.70774887,1,0,2,477.8871578
47.50221835,1,1,3,441.9954938
97.85798216,0,0,2,515.594409
38.66207035,0,1,1,183.6133168
43.7210467,1,0,0,301.2602312
11.54626733,1,1,2,192.0300602
54.5124557,1,0,1,298.1005675
-25.96551154,1,1,2,-70.63115025
26.16401286,0,1,2,250.9889157
2.044401162,0,0,0,-74.97005252
-65.43961753,1,1,2,-242.3893818
9.040360683,1,0,1,151.5787005
22.9427309,1,1,2,95.33386003
118.5960829,1,1,2,548.0583865
-1.634276998,1,1,0,210.4930426
86.22116351,0,0,1,477.8635663
-27.81894973,0,1,1,16.49295157
61.37743427,0,0,1,145.4196665
-14.49245788,0,1,2,-143.010853
54.19494345,0,1,3,137.9784387
50.82762845,1,1,1,379.4035254
97.43957708,0,1,1,415.3098976
74.79276632,0,0,1,229.7083357
-3.387094905,0,1,0,244.1539787
-1.415787042,1,0,2,-129.0302491
-11.38981126,1,1,2,193.4804697
41.21784345,1,0,1,415.3383763
41.82664704,0,1,3,106.8047124
2.606272349,0,0,1,-66.80841356
6.874957177,0,0,1,-39.34928235
142.2134936,1,1,1,792.6931605
127.4714909,0,1,2,713.8018752
102.8585411,1,0,0,446.660733
68.22462949,0,0,2,332.2844114
7.479674847,1,0,2,208.9998747
24.93572225,0,1,3,123.2717663
52.57014521,0,0,2,193.8755261
89.70989533,1,1,1,521.9703377
40.04444588,0,1,1,214.0790855
26.06080156,0,1,2,114.5936109
32.5047602,0,0,1,228.0914414
9.153635786,1,1,1,170.9215812
89.85456444,0,1,0,441.7708394
-3.126141979,1,0,1,-37.18515075
-23.10315307,0,1,1,-41.60120316
89.03431589,0,1,2,316.3920608
70.00907807,1,1,1,500.3940977
56.61176937,1,0,2,411.8097386
27.41206017,1,0,1,275.6905072
26.99271432,0,0,1,149.783721
50.02699587,0,0,0,190.7456577
14.66420279,1,0,1,88.32377829
79.63832206,0,1,1,428.5454999
-2.543438323,1,0,2,113.019658
32.39245823,0,0,0,218.6382016
-22.2023986,1,1,3,-75.76930313
45.87417157,0,1,1,286.9908791
-10.33099422,1,1,0,34.62499879
116.0938177,0,1,2,647.7033507
39.08761245,1,0,1,148.2700562
54.56462465,1,1,1,410.7765678
40.50966857,1,1,3,269.4780989
63.50893486,0,0,1,285.3107682
6.656291127,0,1,1,82.18717272
88.90405698,1,0,1,507.0338927
56.38056103,0,1,2,299.6079957
39.20705707,0,1,3,371.2219303
-1.321559248,1,0,1,79.24678312
13.62453824,0,0,1,-81.7832084
71.06586883,1,1,2,396.8046674
63.46205177,1,1,2,417.9541772
53.67123235,0,1,3,119.4640193
63.57340177,0,0,0,451.0399043
-13.70678056,1,1,2,17.85543122
54.23076003,1,1,1,375.2933842
-23.60490593,0,1,2,-124.0756559
85.20354801,1,1,1,542.93164
43.16739123,0,0,1,233.6016721
64.33949098,1,1,1,341.1266381
98.87036112,1,0,3,682.593446
90.96256333,1,1,1,402.8983649
25.51127997,1,0,2,209.9113112
69.39767464,0,1,1,364.4205392
4.407053788,0,1,1,-77.25665629
32.90953943,0,0,2,246.6454397
59.14401051,0,0,1,174.8436549
16.23940942,0,0,1,101.186818
99.04455457,0,1,0,664.2543288
28.15278355,1,0,2,373.4637345
23.1638556,0,1,0,23.07212344
95.93691413,0,1,0,666.9137747
68.63642279,0,0,2,275.2756422
26.93942618,1,0,2,135.8004857
50.24368093,1,0,0,318.8384476
74.28388424,1,0,0,326.410236
